id,word,pos,part,section,japanese,sentence,sentence_ja
71,term,noun,1,1,(専門)用語；(～s)条件；(～s)間柄；学期,"""Hypertension"" is a medical term for abnormally high blood pressure.",“hypertension（高血圧症）”は異常に高い血圧を表す医学用語である。
72,statement,noun,1,1,声明；主張；明細書,The politician made a short statement to the press.,その政治家は報道機関に対し短い声明を出した。
73,material,noun,1,1,材料，素材；資料；生地,The company makes its products with only natural materials.,その会社は天然素材だけを使って製品を作っている。
74,evidence,noun,1,1,証拠,There is clear evidence that the man did not commit the crime.,その男性は罪を犯していなかったという明白な証拠がある。
75,source,noun,1,1,(～の)源，根源(of)；出所，情報源,Solar power is considered to be a clean source of energy.,太陽光熱はクリーンなエネルギー源であると見なされている。
76,community,noun,1,1,(共同)社会，～界；地域社会；地域住民,The international community is working towards world peace.,国際社会は世界平和に向けて動いている。
77,technology,noun,1,1,科学技術；応用技術,Digital technology has significantly changed people's ways of living.,デジタル技術は人々の生活様式を大いに変えた。
78,culture,noun,1,1,文化；教養；耕作；養殖；培養,Chopsticks are an important part of Asian culture.,箸はアジア文化の重要な一部である。
79,appropriate,adjective,1,1,(～に)適切な(for / to),It is important to wear appropriate clothes for a job interview.,就職の面接に適切な服を着ることが重要だ。
80,likely,adjective,1,1,ありそうな,Some people believe that AI robots are likely to replace most workers.,AIロボットが大半の労働者に取って代わりそうだと思っている人がいる。
81,possible,adjective,1,1,可能な；可能性のある,"Nowadays, it is possible to buy almost anything on the Internet.",最近では，インターネットでほとんど何でも買うことが可能である。
82,individual,adjective,1,1,個々の；個人の,A group is not just a collection of individual talents.,集団は単なる個々の才能の集まりではない。
83,public,adjective,1,1,公の；公衆の；公開の,Our main concern is to improve public facilities in the city.,私たちの主たる関心事は市内の公共施設を改良することである。
84,common,adjective,1,1,共通の；普通の；一般的な,The team worked towards the common goal of winning the match.,チームはその試合に勝つという共通の目標に向かって努力した。
85,certain,adjective,1,1,確信して；確かな；ある；一定の,I am certain that she will get a promotion at work.,彼女は仕事で昇進すると私は確信している。
86,similar,adjective,1,1,似ている，類似した；同様の,His car is similar to mine in design and performance.,彼の車はデザインと性能において私の車と似ている。
87,recent,adjective,1,1,最近の,Research shows that reading habits have declined in recent years.,近年，読書の習慣が衰退してきていることを研究は示している。
88,major,adjective,1,1,主要な；大きい(ほうの)；長調の,Economic growth is a major concern for the Japanese government.,経済成長は日本政府にとって大きな関心事である。
89,patient,adjective,1,1,忍耐強い；勤勉な,You should be more patient with your children.,自分の子供に対してもっと忍耐強くあるべきだ。
90,particular,adjective,1,1,特定の；特別の；(～について)やかましい(about),She cannot eat a particular type of nut.,彼女はある特定の種類のナッツが食べられない。
91,physical,adjective,1,1,身体の；物質的な；物理学の,It is a good habit to get physical exercise every day.,毎日身体の運動をするのはよい習慣だ。
92,various,adjective,1,1,さまざまな；いくつかの,There are various ways to achieve your goals.,あなたの目標を達成するさまざまな方法がある。
93,available,adjective,1,1,手に入る；利用できる；手があいている,Tickets for the concert are available on the Internet.,そのコンサートのチケットはインターネットで手に入る。
94,native,adjective,1,1,出生地の；原産の；生得の,English is a native language for around 400 million people.,英語はおよそ4億人の人たちの母語である。
95,political,adjective,1,1,政治(上)の,The political situation of Britain changed after World War I.,イギリスの政治情勢は第一次世界大戦後に変わった。
96,due,adjective,1,1,予定された；(支払)期日で；しかるべき,The train is due to arrive at Nagoya Station in ten minutes.,列車は10分後に名古屋駅に到着する予定である。
97,blank,adjective,1,1,空白の；無表情な；がらんとした,Write your name in the blank space at the bottom of the paper.,用紙下部の空欄に名前を記入しなさい。
98,ancient,adjective,1,1,古代の；昔からの,The Olympic Games originated in ancient times in Greece.,オリンピックは古代にギリシャで始まった。
99,correct,adjective,1,1,正しい；適切な,You should always look for correct information before starting a report.,報告書を書く前にはいつも正しい情報を探すべきだ。
100,despite,preposition,1,1,～にもかかわらず,They went hiking despite the fact that a storm was coming.,嵐がやってきているという事実にもかかわらず，彼らはハイキングに出かけた。
101,notice,verb,1,2,に気づく,The doctor quickly noticed a change in the patient's condition.,医師は患者の状態の変化にすぐに気づいた。
102,refer,verb,1,2,言及する，関連する；参照する,The article refers to Darwin's theory of evolution.,その記事はダーウィンの進化論に言及している。
103,approach,verb,1,2,に近づく；に取り組む,The car slowed down as it approached the curve.,その車はカーブに近づくと速度を落とした。
104,wonder,verb,1,2,かなと思う；(に)驚く(at),The teacher wondered why John didn't attend today's class.,教師はなぜジョンが今日の授業に出席していないのかなと思った。
105,imagine,verb,1,2,(を)想像する；(を)推測する,Imagine that you won the lottery.,宝くじが当たったと想像しなさい。
106,recognize,verb,1,2,を識別できる；を認める,She immediately recognized the building in the photo.,彼女はすぐに，その写真に写っている建物を識別した。
107,solve,verb,1,2,を解く，解明する；(困難など)を解決する,She can solve any math problem quickly.,彼女はどんな数学の問題もすぐに解くことができる。
108,occur,verb,1,2,起こる；心に浮かぶ；現れる,Forest fires often occur in California.,カリフォルニア州では森林火災がよく起こる。
109,argue,verb,1,2,と主張する；議論する,He argues that the country needs new energy policies.,彼はその国は新しいエネルギー政策を必要としていると主張する。
110,claim,verb,1,2,と主張する；を(自分のものとして)要求する,Some scientists claim that coffee lowers the risk of heart disease.,コーヒーは心疾患のリスクを減らすと主張する科学者がいる。
111,express,verb,1,2,を表す，述べる,The politician expressed his opinions on the leak of state secrets.,その政治家は国家機密の漏洩に関する自分の意見を表明した。
112,draw,verb,1,2,を引き出す；を引く；を描く；近づく,He drew a conclusion from a series of experiments.,彼は一連の実験から1つの結論を出した。
113,waste,verb,1,2,を浪費する，無駄にする,You should not waste too much time on chatting online.,オンラインでチャットをするのにあまりに長い時間を浪費するべきでない。
114,advance,verb,1,2,を進歩させる；を進める；進歩する；進む,All citizens should advance their knowledge of global ecology.,すべての市民は地球生態学の知識を深めるべきだ。
115,spread,verb,1,2,を広げる；広がる,He spread rumors about Mike on social media.,彼はソーシャルメディアでマイクについてのうわさを広めた。
116,prepare,verb,1,2,を準備する；を調理する；(～のために)準備をする(for),He prepared a speech for his friend's wedding reception.,彼は友人の結婚披露宴のためのスピーチを準備した。
117,gain,verb,1,2,を獲得する；(を)増す,She gained a lot of experience in the music business.,彼女は音楽業界で多くの経験を得た。
118,achieve,verb,1,2,を達成する；を成し遂げる,You can achieve your goals by making a good plan.,よい計画を立てることによって，自分の目標を達成することができる。
119,establish,verb,1,2,を確立する；を設立する,"At a party, you can establish friendly relationships with others.",パーティーではほかの人々と友好な関係を確立することができる。
120,supply,verb,1,2,を供給する,This power plant supplies electricity to the whole city.,この発電所は市全体に電気を供給している。
121,suppose,verb,1,2,と思う；と仮定する,I suppose that his writing shows his true love of nature.,私は彼の書くものは彼の自然に対する真の愛を表していると思う。
122,perform,verb,1,2,(を)行う；(を)演じる，(を)演奏する,The two researchers decided to work together to perform an experiment.,2人の研究者は実験を行うために協力することにした。
123,prefer,verb,1,2,のほうを好む,Some people prefer e-books to printed books.,印刷された本より電子書籍のほうを好む人がいる。
124,determine,verb,1,2,を決定する；を正確に知る,It takes time to determine whether something is true or not.,何かが真実かどうかを決定するには時間がかかる。
125,treat,verb,1,2,を扱う；を治療する,Young people should treat their elders with respect.,若者は敬意をもって年上の人を処遇するべきである。
126,prove,verb,1,2,を証明する；判明する，わかる,Scientists have proven that dinosaurs once existed.,科学者はかつて恐竜が存在したことを証明した。
127,apply,verb,1,2,を適用［応用］する；申し込む；(～に)適用される(to / in),The computer company applied a new theory to its product designs.,そのコンピューター会社は自社の商品設計に新しい理論を適用した。
128,mention,verb,1,2,に言及する；と言う,The salesperson mentioned the features of his company's products.,その販売員は自社製品の特徴に言及した。
129,communicate,verb,1,2,(～と)情報交換をする(with)；を伝達する,Social Networking Services allow users to communicate with other users.,ソーシャルネットワークサービス（SNS）は，利用者がほかの利用者と情報交換するのを可能にする。
130,contain,verb,1,2,を含む；を収容する；(感情など)を抑える,"Junk food usually contains a lot of salt, sugar and fat.",ジャンクフードはたいていたくさんの塩分，糖分，脂肪を含む。
131,contact,verb,1,2,と連絡を取る；接触する,"If you need any help, please contact me anytime.",助けが必要なら，いつでも私に連絡してください。
132,regard,verb,1,2,を見なす；を見る；を評価する,"Today, many people regard English language ability as necessary.",今日，多くの人々は英語の能力が必要なものだと見なしている。
133,respect,verb,1,2,を尊敬する；を尊重する,I respect the professor because of his unique viewpoints on literature.,文学に対する独自の観点ゆえに，私は教授を尊敬する。
134,search,verb,1,2,捜す；を捜索する；を詳しく調べる,The police searched for the missing person all night.,警察は一晩中行方不明者を捜した。
135,connect,verb,1,2,をつなぐ；を関連づける,"Nowadays, many people are connecting their TVs to the Internet.",今日では，多くの人がテレビをインターネットにつないでいる。
136,decline,verb,1,2,減少する；衰退する；を断る,The crime rate in the U.S. has declined steadily.,アメリカにおける犯罪率は着実に減少してきている。
137,prevent,verb,1,2,を妨げる；を防ぐ,Strict laws may prevent people from committing violent crimes.,厳しい法律は人々が凶悪犯罪を犯すのを妨げるかもしれない。
138,suffer,verb,1,2,苦しむ；患う；(苦痛など)を経験する,Many countries around the world suffer from natural disasters.,世界中の多くの国々が自然災害に苦しんでいる。
139,survive,verb,1,2,を切り抜けて生き残る；より長生きする；生き延びる,The man survived the traffic accident.,その男性はその交通事故で生き残った。
140,publish,verb,1,2,を出版する；を公表する,She published a novel about a professional gamer.,彼女はプロのゲーマーを描いた小説を出版した。
141,opportunity,noun,1,2,機会,Most Japanese do not have an opportunity to use English every day.,たいていの日本人は毎日英語を使う機会がない。
142,task,noun,1,2,(課せられた)仕事，作業；課題；タスク,She completed the task of making a sales presentation.,彼女は販売企画の説明を行う仕事をやり遂げた。
143,industry,noun,1,2,産業；勤勉,The Japanese auto industry is making big changes in car manufacturing.,日本の自動車産業は自動車製造における大きな変化を起こしつつある。
144,medium,noun,1,2,(情報伝達の)媒体；手段,People nowadays use social media to share information and ideas.,今日，人々は情報や考えを共有するためにソーシャルメディアを使う。
145,economy,noun,1,2,経済(状態)；経済圏；節約,I wonder if higher wages are good for the Japanese economy.,より高い賃金は日本経済にとってよいことだろうか。
146,policy,noun,1,2,政策，方針；(個人の)主義,The government is changing its free-market policy.,政府は自由市場政策を変更しつつある。
147,account,noun,1,2,説明；勘定；口座,The patient's family was given a detailed account of the operation.,患者の家族は手術についての詳しい説明を受けた。
148,trade,noun,1,2,貿易；商売，取引,There was an increase in wine trade between the two countries.,両国間のワイン貿易が拡大した。
149,model,noun,1,2,模範；モデル；模型；型,The famous reporter's work is an ideal model of journalism.,その有名な記者の仕事はジャーナリズムの理想的な模範である。
150,figure,noun,1,2,数字；姿；人物；図表,There is room for improvement in the sales figures of our cars.,当社の車の販売数には改善の余地がある。
151,cell,noun,1,2,細胞；独房；電池,They discovered a virus that destroys cancer cells.,彼らは癌細胞を破壊するウイルスを発見した。
152,image,noun,1,2,印象，イメージ；画像；像,We have a positive image of Olympic athletes.,私たちはオリンピック選手に対して肯定的な印象を抱いている。
153,emotion,noun,1,2,感情，情動；感動,Men and women seem to handle emotions quite differently.,男性と女性はまったく異なったやり方で感情に対処するように思える。
154,stress,noun,1,2,ストレス；圧力；強調,A tight work schedule may cause stress.,ぎっしり詰まった仕事の予定がストレスを引き起こすこともある。
155,decade,noun,1,2,10年間,The country has had fast growth over the last few decades.,その国は過去数十年間にわたって急成長を遂げてきた。
156,range,noun,1,2,範囲；射程距離；(同類の)組,The company made a plan to expand the range of its products.,その会社は製品の範囲を拡大する計画を立てた。
157,character,noun,1,2,性格，個性；特徴；登場人物；文字,Many foreigners think Japanese people have a modest character.,多くの外国人が日本人は謙虚な性格を備えていると思っている。
158,advantage,noun,1,2,利点；優勢；有利,One great advantage of online communities is relationship building among people.,オンラインコミュニティの大きな利点の1つは人々の間に関係を築くことである。
159,phrase,noun,1,2,句；成句；言葉遣い,"A phrase like ""it's similar to"" is useful for explaining words.",「それは～に似ている」のような句は語の説明をするのに役立つ。
160,damage,noun,1,2,損害，損傷；(～s)損害賠償金,The hurricane caused great damage to the city.,ハリケーンはその市に大きな損害を与えた。
161,impact,noun,1,2,影響；(激しい)衝突；衝撃(力),A wasteful use of resources has a negative impact on the environment.,資源の無駄遣いは環境に悪影響を及ぼす。
162,method,noun,1,2,方法；体系；秩序,Some methods of dieting face a lot of criticism.,いくつかのダイエット法は多くの批判に直面している。
163,resource,noun,1,2,(通例～s)資源；(通例～s)資金；才覚,Technology will make the efficient use of natural resources possible.,科学技術は天然資源の効率的な利用を可能にするだろう。
164,region,noun,1,2,地域；領域；部位,Auroras are visible in the polar regions.,オーロラは極地で見られる。
165,medicine,noun,1,2,薬；医学,The doctors tried out a new kind of medicine on the girl to save her life.,医師たちはその少女の命を救うために彼女に新しい種類の薬を試した。
166,detail,noun,1,2,(～s)詳細(な情報)，細部,You should not post too many personal details about yourself on your blog.,ブログにあまりにも多くの自分自身についての詳細な個人情報を載せるべきではない。
167,feature,noun,1,2,特徴；(通例～s)顔つき；特集記事［番組］,The most unique feature of the new building is its curved shape.,その新しい建物の最も珍しい特徴は曲がった形状である。
168,function,noun,1,2,機能；関数,Voice recognition is one of the most useful functions of smartphones.,音声認識はスマートフォンの最も便利な機能の1つである。
169,access,noun,1,2,利用，入手；接近(の機会・方法・権利),People can easily have access to the Internet these days.,最近では人々は簡単にインターネットを利用することができる。
170,item,noun,1,2,品目，項目；(同種の中の)～個；(短い)記事,The secret behind the popularity of the shop is its wide choice of items.,その店の人気の秘密は幅広い品ぞろえである。
171,income,noun,1,2,収入；所得,The average annual household income has declined over the past decade.,平均的な世帯年収は過去10年で減少した。
172,attitude,noun,1,2,態度；考え方，心構え,Her positive attitude toward the job led to her success.,彼女の仕事に対する積極的な態度は彼女の成功につながった。
173,site,noun,1,2,用地，場所；跡地；(ウェブ)サイト,The mayor visited the site of the upcoming new airport.,市長はまもなく開港する新空港の用地を視察した。
174,aspect,noun,1,2,(物事の)側面；観点；様相,Some aspects of language learning become more difficult with age.,言語学習のいくつかの側面は年齢とともにより難しくなる。
175,structure,noun,1,2,構造；体系；構造物,The social structure of the country has changed over the years.,その国の社会構造は長年にわたって変化してきた。
176,habit,noun,1,2,習慣，癖,He has the habit of checking e-mail messages at meal times.,彼は食事時にEメールのメッセージをチェックする習慣がある。
177,link,noun,1,2,関連，つながり；(2地点を結ぶ)交通手段；リンク,There is a strong link between unusual weather and global warming.,異常気象と地球温暖化との間には強い関連がある。
178,instance,noun,1,2,(具体的な)例，実例；(特定の)場合,"When we read, for instance, we make quick eye movements.",たとえば本を読むとき，私たちは目を素早く動かす。
179,positive,adjective,1,2,肯定的な；積極的な；確信して；(検査結果が)陽性の,"The English word ""cool"" has a positive meaning.",英語の“cool”は肯定的な意味を持つ。
180,negative,adjective,1,2,否定的な；消極的な；(検査結果が)陰性の,Loud noises may have a negative effect on studying.,大きな騒音は勉強に悪影響を与えるかもしれない。
181,complex,adjective,1,2,複雑な；複合(体)の,There are many complex theories in physics.,物理学には多くの複雑な理論がある。
182,current,adjective,1,2,現在の；現代の；通用している,The current trend in cars is toward automated driving.,自動車における現在の傾向は自動運転に向かっている。
183,mental,adjective,1,2,精神の；知能の；頭の中で行う,Taking in less sugar may benefit your mental health.,糖分の摂取を減らすことはあなたの精神衛生のためになるかもしれない。
184,specific,adjective,1,2,特定の；明確な，具体的な；(～に)特有の(to),The teacher talked about a specific topic.,先生は特定の話題について話した。
185,significant,adjective,1,2,重要な，重大な；意義深い,There are significant differences between having knowledge and using it.,知識があることとそれを使うこととの間には重大な違いがある。
186,essential,adjective,1,2,(～に)必要不可欠な(to / for)；本質的な,Friends are essential for our lives.,友人は私たちの人生に不可欠である。
187,official,adjective,1,2,公用の；公式の；役所の,Hebrew is the official language of Israel.,ヘブライ語はイスラエルの公用語である。
188,financial,adjective,1,2,財政(上)の；財界の,The company received financial support from a bank.,その会社は銀行から財政支援を受けた。
189,academic,adjective,1,2,学問の；大学の,Academic achievement is traditionally measured through examination.,学業成績は伝統的に試験によって評価される。
190,aware,adjective,1,2,気づいて，知って,We are aware of the importance of learning a second language.,私たちは第二言語を学ぶことの重要性に気づいている。
191,worth,adjective,1,2,(…する)に値する(doing)；の価値がある,"Organic food is said to be healthy, so it is worth buying.",自然食品は健康によいと言われていて，だから買うに値する。
192,potential,adjective,1,2,潜在的な；可能性を秘めた,It is important in business to look for potential customers.,潜在的な顧客を探すことがビジネスにおいて重要だ。
193,active,adjective,1,2,積極的な；活動的な；効力のある,Men should play an active role in raising children.,男性は子育てにおいて積極的な役割を果たすべきである。
194,digital,adjective,1,2,デジタル方式の；デジタル［数字］表示の,We are now experiencing rapid growth in digital technology.,私たちは今デジタル技術の急成長を経験している。
195,mobile,adjective,1,2,可動［移動］式の；流動性のある,Gaming on mobile devices is becoming more popular than ever before.,移動式機器でゲームをすることはこれまで以上に人気が高まってきている。
196,novel,adjective,1,2,斬新な，目新しい,He developed a novel theory concerning the human mind.,彼は人間の精神に関する斬新な理論を展開した。
197,plastic,adjective,1,2,柔軟な；プラスチックの，ビニールの,"The human brain is very plastic, so even adults can learn and adapt.",人間の脳はとても柔軟なので，大人でさえ学習して順応することができる。
198,chemical,adjective,1,2,化学の，化学的な,Soda water is created by a chemical reaction.,炭酸水は化学反応によって作られる。
199,necessary,adjective,1,2,必要な,It is necessary to review English words regularly to remember them.,英単語を覚えるためには定期的に復習することが必要である。
200,eventually,adverb,1,2,結局(は),She eventually earned a Ph.D. in mathematics from Yale University.,彼女は結局エール大学から数学の博士号を取得した。
201,identify,verb,1,3,を特定する；を（～と）同一視する（with）,The police officer identified the man as a criminal.,警官はその男性を犯人と特定した。
202,represent,verb,1,3,を表す；を代表する；に相当する,His music represents a new form of rock music.,彼の音楽はロックミュージックの新しい形式を表している。
203,indicate,verb,1,3,を指し示す；を述べる,The cave paintings indicate that early humans had the idea of time.,その洞窟絵画は原始人が時間の概念を持っていたことを示している。
204,manage,verb,1,3,をなんとか成し遂げる；を管理する,The student managed to finish his report before the deadline.,その学生は締め切り前になんとかレポートを仕上げることができた。
205,attend,verb,1,3,に出席する；（を）世話する；（～に）対処［対応］する（to）,I would like to attend the party because I might meet someone famous.,有名人に会えるかもしれないので，私はそのパーティーに出席したい。
206,maintain,verb,1,3,を維持する；と主張する；を養う,"Today, Kyoto still maintains a lot of its ancient culture.",今日，京都はなお昔の文化を多く維持している。
207,survey,verb,1,3,を調査する；をじろじろ見る；を概観する,One study surveyed 100 cancer patients who tried the new drug.,ある研究は新薬を試した100人の癌患者を調査した。
208,replace,verb,1,3,に取って代わる；を取り替える,Machines have replaced human workers in many factories.,多くの工場で機械が人間の労働者に取って代わった。
